file,path,name,comment,module,class,alias,method
../src1/project1/urls_autogen.py,,,"集約ファイル",,,,
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/hello-alias/ver1.0/,practice_vol1o0_hello_alias,"O3o2o_1o0g1o0 練習1.0巻 こんにちわ別名1.0版",apps1.practice_vol1o0.views.hello.ver1o0,HelloView,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/page-to-be-added-1/ver1.0/,,"O3o2o0g5o1o0 練習1.0巻 １回追加されたページ1.0版",apps1.practice_vol1o0.views.page_to_be_added.ver2o0,PageToBeAdded,PageToBeAdded1,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/page-to-be-added-2/ver1.0/,,"O3o3o0g4o1o0 練習1.0巻 ２回追加されたページ1.0版",apps1.practice_vol1o0.views.page_to_be_added.ver3o0,PageToBeAdded,PageToBeAdded2,render
../src1/project1/urls_launcher_vol1o0_autogen.py,launcher/vol1.0/finished-lesson/ver1.0/,,"O5o1o0gA11o1o0 ランチャー1.0巻 終了したレッスン1.0版",apps1.launcher_vol1o0.views.finished_lesson.ver1o0,Launcher,LauncherView1o0g1o0,render
../src1/project1/urls_launcher_vol1o0_autogen.py,,home,"O5o2o0g8o1o0 ランチャー1.0巻 終了したレッスン2.0版",apps1.launcher_vol1o0.views.finished_lesson.ver2o0,Launcher,LauncherView1o0g2o0,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/login-required/ver1.0/,,"O8o2o0g4o1o0 練習1.0巻 ログイン必須ページでログイン中1.0版",apps1.practice_vol1o0.views.login_required.ver1o0,LoggingIn,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/logout/ver1.0/,,"O8o2o0g4o1o0 練習1.0巻 ログイン必須ページでログアウト中1.0版",apps1.practice_vol1o0.views.login_required.ver1o0,LoggingOut,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/buttom_for_member/ver1.0/,,"O8o3o0g5o1o0 練習1.0巻 会員にだけ見えるボタンを説明するページ1.0版",apps1.practice_vol1o0.views.button_for_member.ver1o0,ButtonForMember,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/user-list/ver1.0/,,"O9o1o0g7o1o0 練習1.0巻 会員一覧1.0版",apps1.practice_vol1o0.views.user_list.ver1o0,UserListV,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/extends-user-list/ver1.0/,,"O9o2o0gA12o1o0 練習1.0巻 （拡張済）会員一覧1.0版",apps1.practice_vol1o0.views.extends_user_list.ver1o0,ExtendsUserListV,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/active-user-list/ver1.0/,,"O9o3o0g7o1o0 練習1.0巻 アクティブユーザー一覧1.0版",apps1.practice_vol1o0.views.session.ver1o0,SessionV,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/from-object-to-json-str/ver1.0/,,"OA10o2o0g6o1o0 練習1.0巻 デバッグ用。モデルをダンプ出力1.0版",apps1.practice_vol1o0.views.debug.ver1o0,DebugV,,render_model_as_json
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/prefectures/ver1.0/,practice_vol1o0_prefectures,"OA11o1o0g5o1o0 練習1.0巻 都道府県一覧1.0版",apps1.practice_vol1o0.views.prefecture.ver1o0,PrefectureV,,render_list
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/prefectures/read/ver1.0/<int:id>/,practice_vol1o0_prefectures_read,"OA11o2o0g5o1o0 練習1.0巻 都道府県の詳細1.0版",apps1.practice_vol1o0.views.prefecture.ver1o0,PrefectureV,,render_read
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/prefectures/delete/ver1.0/<int:id>/,practice_vol1o0_prefectures_delete,"OA11o3o0g5o1o0 練習1.0巻 都道府県の削除1.0版",apps1.practice_vol1o0.views.prefecture.ver1o0,PrefectureV,,render_delete
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/prefectures/create/ver1.0/,practice_vol1o0_prefectures_create,"OA11o4o0g6o1o0 練習1.0巻 都道府県の新規作成1.0版",apps1.practice_vol1o0.views.prefecture.ver1o0,PrefectureV,,render_upsert
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/prefectures/update/ver1.0/<int:id>/,practice_vol1o0_refectures_update,"OA11o4o0g6o1o0 練習1.0巻 都道府県の更新1.0版",apps1.practice_vol1o0.views.prefecture.ver1o0,PrefectureV,,render_upsert
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/hello1/ver1.0/,,"OA12o1o0g5o1o0 練習1.0巻 ビューティファイでハロー 1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_hello1
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/data-table1/ver1.0/,,"OA12o2o0g5o1o0 練習1.0巻 ビューティファイでデータテーブル１ 1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_data_table1
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/validation1/ver1.0/,,"OA12o3o0g5o1o0 練習1.0巻 ビューティファイでバリデーション１ 1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_validation1
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/desserts1/ver1.0/,,"OA13o1o0g6o1o0 練習1.0巻 ビューティファイでデザート１ 1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_desserts1
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/textarea1/ver1.0/,,"OA13o2o0g7o1o0 練習1.0巻 ビューティファイでテキストエリア１ 1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_textarea1
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/desserts-from-textarea/ver1.0/,practice1o0_vuetify_desserts_from_textarea1o0,"OA13o2o0g7o1o0 練習1.0巻 ビューティファイでデザート１ . テキストエリア１から 1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_desserts1_from_textarea1
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/desserts1-as-json/ver1.0/,,"OA13o3o0g5o1o0 練習1.0巻 ビューティファイでJSON形式のデザート１ 1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_desserts1_as_json
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/textarea1-to-model/ver1.0/,,"OA13o4o0gA13o1o0 練習1.0巻 ビューティファイでテキストエリア入力から保存まで . 入力1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_textarea1_to_model
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/vuetify/save-desserts-from-textarea/ver1.0/,practice1o0_vuetify_save_desserts_from_textarea1o0,"OA13o4o0gA13o1o0 練習1.0巻 ビューティファイでテキストエリア入力から保存まで . 保存1.0版",apps1.practice_vol1o0.views.vuetifies,VuetifyV,,render_save_result_of_desserts1_from_textarea1
../src1/project1/urls_tic_tac_toe_vol1o0_autogen.py,tic-tac-toe/vol1.0/match-application/ver1.0/,,"OA16o1o0gA17o1o0 〇×ゲーム1.0巻 対局申込中1.0版",apps1.tic_tac_toe_vol1o0.views.match_application.ver1o0,MatchApplicationV,,render
../src1/project1/urls_tic_tac_toe_vol1o0_autogen.py,tic-tac-toe/vol1.0/playing/ver1.0/<str:room_name>/,,"OA16o1o0gA17o1o0 〇×ゲーム1.0巻 対局中1.0版",apps1.tic_tac_toe_vol1o0.views.playing.ver1o0,PlayingV,,render
../src1/project1/urls_tic_tac_toe_vol2o0_autogen.py,tic-tac-toe/vol2.0/engine-manual/ver1.0/,,"OA16o2o0gA16o1o0 〇×ゲーム2.0巻 思考エンジン手動1.0版",apps1.tic_tac_toe_vol2o0.views.think.engine_manual.ver1o0,EngineManual,,render
../src1/project1/urls_tic_tac_toe_vol2o0_autogen.py,tic-tac-toe/vol2.0/c2s-json-gen/ver1.0/,,"OA16o3o_1o0g4o1o0 〇×ゲーム2.0巻 C2S JSON ジェネレーター1.0版",apps1.tic_tac_toe_vol2o0.views.msg.c2s_json_gen.ver1o0,C2sJsonGenView,C2sJsonGenViewV1o0,render
../src1/project1/urls_tic_tac_toe_vol2o0_autogen.py,tic-tac-toe/vol2.0/s2c-json-gen/ver1.0/,,"OA16o3o_2o0g5o1o0 〇×ゲーム2.0巻 S2C JSON ジェネレーター1.0版",apps1.tic_tac_toe_vol2o0.views.msg.s2c_json_gen.ver1o0,S2cJsonGenView,S2cJsonGenViewV1o0,render
../src1/project1/urls_tic_tac_toe_vol2o0_autogen.py,tic-tac-toe/vol2.0/match-application/ver1.0/,,"OA16o3o0gA15o1o0 〇×ゲーム2.0巻 対局申込中1.0版",apps1.tic_tac_toe_vol2o0.views.gui.match_application.ver1o0,MatchApplicationV,,render
../src1/project1/urls_tic_tac_toe_vol2o0_autogen.py,tic-tac-toe/vol2.0/playing/ver1.0/<str:kw_room_name>/,,"OA16o3o0gA15o1o0 〇×ゲーム2.0巻 対局中1.0版",apps1.tic_tac_toe_vol2o0.views.gui.playing.ver1o0,PlayingV,,render
../src1/project1/urls_practice_vol1o0_autogen.py,practice/vol1.0/rooms/ver1.0/,practice_vol1o0_rooms,"OA18o2o0g7o1o0 練習1.0巻 対局部屋の一覧1.0版",apps1.practice_vol1o0.views.room.ver1o0,RoomV,RoomVV1o0,render_list
